Order ID,CustomerID,Amount,Profit,Quantity ordered new,Product Category,Product Sub-Category,Payment Mode,Order Date,Month,MonthName,DateInText,Customer Name,State or Province,City,Gender,Gender.1,Gender.2
88522,4666,11.36,4.56,4,Office Supplies,Pens & Art Supplies,Credit Card,2015-05-12,5,May,05/12/2015,Gwendolyn F Tyson,Minnesota,Prior Lake,M,1,MALE
90193,4663,6011.76,4390.3665,12,Furniture,Chairs & Chairmats,Credit Card,2015-05-12,5,May,05/12/2015,Gwendolyn F Tyson,Minnesota,Prior Lake,F,0,FEMALE
90192,2583,208.56,-53.8096,22,Furniture,Office Furnishings,Credit Card,2015-05-12,5,May,05/12/2015,Gwendolyn F Tyson,Minnesota,Prior Lake,M,1,MALE
86838,8372,1259.04,803.4705,16,Furniture,Office Furnishings,Credit Card,2015-04-08,4,Apr,04/08/2015,Timothy Reese,New York,Smithtown,M,1,MALE
86838,6458,22.959999999999997,-24.03,7,Office Supplies,Pens & Art Supplies,Credit Card,2015-05-28,5,May,05/28/2015,Timothy Reese,New York,Smithtown,M,1,MALE
86838,2834,13.12,0.0,4,Office Supplies,Pens & Art Supplies,Credit Card,2015-02-12,2,Feb,02/12/2015,Sarah Ramsey,New York,Syracuse,F,0,FEMALE
86838,8264,14.32,-0.71,4,Office Supplies,Rubber Bands,Credit Card,2015-02-12,2,Feb,02/12/2015,Sarah Ramsey,New York,Syracuse,M,1,MALE
86837,8363,30.939999999999998,-59.82,7,Office Supplies,Envelopes,Credit Card,2015-05-15,5,May,05/15/2015,Laurie Hanna,Montana,Helena,M,1,MALE
86839,4556,359.4,261.87569999999994,10,Office Supplies,Envelopes,Credit Card,2015-05-21,5,May,05/21/2015,Jim Rodgers,Montana,Missoula,M,1,MALE
86836,5243,17.88,2.63,6,Office Supplies,Rubber Bands,Credit Card,2015-05-15,5,May,05/15/2015,Tony Wilkins Winters,New York,New York City,F,0,FEMALE
86836,5654,1159.8999999999999,652.7330999999999,10,Technology,Telephones and Communication,Credit Card,2015-05-21,5,May,05/21/2015,Tony Wilkins Winters,New York,New York City,M,1,MALE
90031,2357,450.16,314.4813,17,Furniture,Office Furnishings,Credit Card,2015-05-21,5,May,05/21/2015,Tony Wilkins Winters,New York,New York City,M,1,MALE
90032,7876,233.82,-114.63990000000001,18,Technology,Office Machines,Credit Card,2015-01-28,1,Jan,01/28/2015,Edna Thomas,California,Laguna Niguel,M,1,MALE
41793,5265,1853.6000000000001,384.38,70,Furniture,Office Furnishings,Credit Card,2015-01-28,1,Jan,01/28/2015,Edna Thomas,California,Laguna Niguel,F,0,FEMALE
42949,1573,290.0,-17.49,58,Office Supplies,Rubber Bands,Credit Card,2015-05-02,5,May,05/02/2015,Guy Gallagher,California,Lakewood,M,1,MALE
42949,4663,922.29,-114.63990000000001,71,Technology,Office Machines,Credit Card,2015-05-12,5,May,05/12/2015,Gwendolyn F Tyson,Minnesota,Prior Lake,F,0,FEMALE
87651,2583,55.48,-28.2968,1,Office Supplies,Paper,Credit Card,2015-05-12,5,May,05/12/2015,Gwendolyn F Tyson,Minnesota,Prior Lake,M,1,MALE
87651,8372,1.68,-5.3072,1,Office Supplies,Pens & Art Supplies,Credit Card,2015-04-08,4,Apr,04/08/2015,Timothy Reese,New York,Smithtown,M,1,MALE
87652,6458,49.67999999999999,8.894000000000005,12,Furniture,Office Furnishings,Credit Card,2015-05-28,5,May,05/28/2015,Timothy Reese,New York,Smithtown,M,1,MALE
89199,2834,454.87,144.69,13,Office Supplies,Pens & Art Supplies,Credit Card,2015-02-12,2,Feb,02/12/2015,Sarah Ramsey,New York,Syracuse,F,0,FEMALE
89200,8264,35.96,-35.8788,2,Technology,Office Machines,Credit Card,2015-02-12,2,Feb,02/12/2015,Sarah Ramsey,New York,Syracuse,M,1,MALE
89202,8363,1007.92,209.997,8,Technology,Telephones and Communication,Credit Card,2015-05-15,5,May,05/15/2015,Laurie Hanna,Montana,Helena,M,1,MALE
89203,4556,4531.780000000001,3568.096,22,Technology,Telephones and Communication,Credit Card,2015-05-21,5,May,05/21/2015,Jim Rodgers,Montana,Missoula,M,1,MALE
89201,5243,55.120000000000005,-84.4376,13,Office Supplies,Binders and Binder Accessories,Credit Card,2015-05-15,5,May,05/15/2015,Tony Wilkins Winters,New York,New York City,F,0,FEMALE
89201,5654,52.92,24.312,18,Office Supplies,Pens & Art Supplies,Credit Card,2015-05-21,5,May,05/21/2015,Tony Wilkins Winters,New York,New York City,M,1,MALE
91454,2357,599.9399999999999,25.913820000000015,6,Technology,Office Machines,Credit Card,2015-05-21,5,May,05/21/2015,Tony Wilkins Winters,New York,New York City,M,1,MALE
88426,7876,695.9399999999999,162.666,6,Technology,Telephones and Communication,Credit Card,2015-01-28,1,Jan,01/28/2015,Edna Thomas,California,Laguna Niguel,M,1,MALE
88425,5265,3502.14,-6923.5992,1,Technology,Office Machines,Credit Card,2015-01-28,1,Jan,01/28/2015,Edna Thomas,California,Laguna Niguel,F,0,FEMALE
88426,1573,101.66000000000001,-67.49,17,Office Supplies,Paper,Credit Card,2015-05-02,5,May,05/02/2015,Guy Gallagher,California,Lakewood,M,1,MALE
88075,7356,76.0,19.6282,20,Office Supplies,Binders and Binder Accessories,Credit Card,2015-02-22,2,Feb,02/22/2015,Matthew Berman,Oregon,Grants Pass,M,1,MALE
88075,3445,29.92,-1.6524,17,Office Supplies,Pens & Art Supplies,Credit Card,2015-03-27,3,Mar,03/27/2015,Matthew Berman,Oregon,Grants Pass,M,1,MALE
87407,6735,17.94,2.1400000000000023,3,Office Supplies,Paper,Credit Card,2015-01-20,1,Jan,01/20/2015,Matthew Berman,Oregon,Grants Pass,F,0,FEMALE
